河道名称,断面编号,断面起点坐标,Unnamed: 3,断面终点坐标,Unnamed: 5
,,X,Y,X,Y
北塘港,长BTG-1,3444767.843,491317.739,3444756.204,491294.797
北塘港,长BTG-2,3444406.655,491133.751,3444409.586,491112.737
北塘港,长BTG-3,3443956.499,491080.733,3443969.493,491054.289
北塘港,长BTG-4,3443465.079,491029.732,3443450.301,490988.059
北塘港,长BTG-5,3442617.549,491374.959,3442585.119,491348.808
北塘港,长BTG-6,3442309.027,492011.719,3442278.547,491995.337
北塘港,长BTG-7,3441665.591,491715.839,3441703.009,491654.087
北塘港,长BTG-8,3441103.886,491533.94,3441120.659,491471.696
北塘港,长BTG-9,3440420.798,491505.128,3440424.529,491438.253
北塘港,长BTG-10,3439556.882,491455.494,3439570.03,491374.927
北塘港,长BTG-11,3438898.38,491417.071,3438912.797,491314.081
北塘港,长BTG-12,3438389.864,491399.395,3438394.678,491338.629
北塘港,长BTG-13,3437841.747,491275.522,3437837.805,491222.723
北塘港,长BTG-14,3437273.018,491312.3,3437270.249,491249.029
北塘港,长BTG-15,3436616.367,491489.135,3436618.168,491428.59
北塘港,长BTG-16,3436046.018,491509.108,3436040.964,491469.641
北塘港,长BTG-17,3435868.184,491545.75,3435864.521,491487.326
北塘港,长BTG-18,3435701.702,491558.197,3435707.724,491476.076
北塘港,长BTG-19,3434852.072,491499.932,3434851.516,491433.318
北塘港,长BTG-20,3434053.127,491511.582,3434052.513,491454.932
北塘港,长BTG-21,3433473.83,491401.248,3433478.122,491353.683
北塘港,长BTG-22,3432958.61,491110.981,3432960.02,491042.009
北塘港,长BTG-23,3432351.716,490978.638,3432351.305,490928.603
北塘港,长BTG-24,3431868.831,491162.035,3431857.053,491086.397
北塘港,长BTG-25,3431326.816,491148.487,3431328.114,491091.686
