断面名称,长CQJ-1, , .1,测量水位,13.02
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,15.08,0
2, , , ,15.07,4.68
3, , , ,13.87,5.96
4, , , ,14.08,10.24
5, , , ,14.45,10.5
6, , , ,14.56,13.2
7, , , ,12.67,13.22
8, , , ,12.45,13.33
9, , , ,12.43,17.74
10, , , ,12.53,21.24
11, , , ,12.33,23.53
12, , , ,12.22,27.87
13, , , ,12.4,32.08
14, , , ,14.53,32.29
15, , , ,13.94,38.36
断面名称,长CQJ-2, , ,测量水位,10.38
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,12.34,0
2, , , ,12.34,6.25
3, , , ,10.4,6.54
4, , , ,9.63,9.45
5, , , ,9.74,12.63
6, , , ,9.79,14.37
7, , , ,9.83,16.91
8, , , ,9.91,17.51
9, , , ,10.38,18.3
10, , , ,10.99,19.31
11, , , ,12.04,19.52
12, , , ,13.1,22.77
断面名称,长CQJ-3, , ,测量水位,8.56
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,10.74,0
2, , , ,10.33,7.15
3, , , ,10.76,8.19
4, , , ,8.36,8.24
5, , , ,8.25,11.69
6, , , ,8.12,14.89
7, , , ,8.17,18.41
8, , , ,8.19,20.64
9, , , ,9.93,25.31
10, , , ,10.23,30.29
断面名称,长CQJ-4, , ,测量水位,7.21
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,9.16,0
2, , , ,8.93,8.38
3, , , ,9.72,8.42
4, , , ,9.7,8.66
5, , , ,7.22,8.88
6, , , ,6.42,9.84
7, , , ,6.32,12.9
8, , , ,6.68,17.11
9, , , ,6.61,21.07
10, , , ,8.63,21.53
11, , , ,9.33,33.47
12, , , ,7.24,34.09
断面名称,长CQJ-5, , ,测量水位,6.21
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,6.75,0
2, , , ,6.8,13.93
3, , , ,7.89,14.62
4, , , ,8.36,17.44
5, , , ,8.22,21.61
6, , , ,7.88,25.27
7, , , ,6.94,26.55
8, , , ,6.18,29.62
9, , , ,5.86,30.28
10, , , ,5.28,31.76
11, , , ,5.19,31.85
12, , , ,5.35,35.47
13, , , ,5.51,39.1
14, , , ,5.56,41.56
15, , , ,5.75,44.49
16, , , ,7.09,45.22
17, , , ,7.56,54.39
18, , , ,6.73,57.3
19, , , ,6.47,73.24
