断面编号,类别,名称,所在河流,市,县（市、区）,镇（乡）,经纬度（保留7位小数）,Unnamed: 8,船闸,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,水闸,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,堰坝,Unnamed: 20,Unnamed: 21,桥梁,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,备注
,,,,,,,东经,北纬,闸顶高程,闸底高程,孔数,闸门净宽（m）,总净宽,闸顶高程,闸底高程,孔数,闸门净宽（m）,总净宽,顶高程,底板高程,净宽（m）,桥梁形式,桥孔数,桥孔净宽（m）,总净宽（m）,底板高程,桥面高程,
长BHG1-3,阻水桥梁,桥梁1,北横港,湖州市,长兴县,夹浦镇 ,119°56′11.742000″,31°05′20.563500″,,,,,,,,,,,,,,拱桥,1,6.4,6.4,6.39,6.69,
长BHG1-5,阻水桥梁,桥梁2,北横港,湖州市,长兴县,夹浦镇 ,119°56′35.416600″,31°04′26.335700″,,,,,,,,,,,,,,梁板桥,1,8.46,8.46,3.85,4.15,
长BHG1-6,阻水桥梁,桥梁3,北横港,湖州市,长兴县,夹浦镇 ,119°56′45.059900″,31°04′15.829900″,,,,,,,,,,,,,,梁板桥,1,18.24,18.24,4.18,4.58,
长BHG1-7,阻水桥梁,桥梁4,北横港,湖州市,长兴县,夹浦镇 ,119°56′58.359600″,31°03′51.049300″,,,,,,,,,,,,,,梁板桥,3,5.9+5.9+5.9,17.700000000000003,4.73,5.03,
长BHG1-8,阻水桥梁,桥梁5,北横港,湖州市,长兴县,太湖街道,119°56′50.469600″,31°03′16.825500″,,,,,,,,,,,,,,拱桥,1,4.4,4.4,4.41,4.71,
长BHG2-3,阻水桥梁,桥梁6,北横港,湖州市,长兴县,太湖街道,119°57′36.489400″,31°03′09.914600″,,,,,,,,,,,,,,拱桥,1,3.9,3.9,4.75,5.05,
长BHG2-1,阻水桥梁,桥梁7,北横港,湖州市,长兴县,太湖街道,119°58′29.280100″,31°03′15.969900″,,,,,,,,,,,,,,拱桥,1,4.4,4.4,4.46,4.76,
长BHG2-20,阻水桥梁,桥梁8,北横港,湖州市,长兴县,洪桥镇,120°03′01.801700″,30°59′50.534600″,,,,,,,,,,,,,,梁板桥,3,10.9+9.9+9.5,30.3,4.57,4.97,
长BHG2-21,阻水桥梁,桥梁9,北横港,湖州市,长兴县,洪桥镇,120°03′35.342000″,30°59′34.149300″,,,,,,,,,,,,,,拱桥,1,5.1,5.1,3.98,4.28,
长BHG2-21,阻水桥梁,桥梁10,北横港,湖州市,长兴县,洪桥镇,120°03′58.658100″,30°59′24.127400″,,,,,,,,,,,,,,梁板桥,1,10.33,10.33,4.03,4.53,
长BHG2-21,阻水桥梁,桥梁11,北横港,湖州市,长兴县,洪桥镇,120°04′03.990900″,30°59′21.075000″,,,,,,,,,,,,,,梁板桥,1,3.51,3.51,3.25,3.75,
长BHG2-22,阻水桥梁,桥梁12,北横港,湖州市,长兴县,洪桥镇,120°04′13.700200″,30°59′14.680900″,,,,,,,,,,,,,,拱桥,1,6.15,6.15,5.28,5.58,
长BHG2-22,阻水桥梁,桥梁13,北横港,湖州市,长兴县,洪桥镇,120°04′14.546300″,30°59′14.157600″,,,,,,,,,,,,,,涵洞,1,1.2,1.2,1.92,3.58,
长BHG2-23,阻水桥梁,桥梁14,北横港,湖州市,长兴县,洪桥镇,120°04′32.787800″,30°58′45.608000″,,,,,,,,,,,,,,梁板桥,1,11.9,11.9,3.12,3.42,
长BHG1-5,水闸,水闸1,北横港,湖州市,长兴县,夹浦镇 ,119°56′26.772800″,31°04′37.351500″,,,,,,2.64,-0.56,1,4.72,4.72,,,,,,,,,,
长BHG2-8,水闸,水闸2,北横港,湖州市,长兴县,太湖街道,119°59′07.651400″,31°02′05.834600″,,,,,,1.78,-1.02,1,5.4,5.4,,,,,,,,,,
长BHG2-9,水闸,水闸3,北横港,湖州市,长兴县,太湖街道,119°59′09.182700″,31°02′01.983400″,,,,,,2.95,-1.25,1,3.2,3.2,,,,,,,,,,
长BHG2-14,水闸,水闸4,北横港,湖州市,长兴县,洪桥镇,120°00′39.538100″,31°00′51.849600″,,,,,,4.31,0.11,1,4.6,4.6,,,,,,,,,,
