断面名称,长HTQG-1, , .1,测量水位,1.32
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.41,0
2, , , ,4.17,7.58
3, , , ,3.81,8.52
4, , , ,2.61,8.87
5, , , ,0.99,11.69
6, , , ,0.29,16.55
7, , , ,-0.24,19.44
8, , , ,-0.5,21.89
9, , , ,-0.62,24.44
10, , , ,-0.6,27.04
11, , , ,-0.49,29.33
12, , , ,-0.28,31.67
13, , , ,0.45,33.87
14, , , ,0.69,36.17
15, , , ,1.09,39.87
16, , , ,1.65,40.13
17, , , ,2.04,40.75
18, , , ,3.12,42.86
19, , , ,3.38,44.37
20, , , ,3.72,45.51
21, , , ,3.7,47.12
断面名称,长HTQG-2, , ,测量水位,1.31
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.78,0
2, , , ,4.55,2.12
3, , , ,4.29,5.94
4, , , ,4.33,6.47
5, , , ,1.38,6.54
6, , , ,0.92,10.05
7, , , ,0.2,11.67
8, , , ,-0.36,13.95
9, , , ,-0.45,16.24
10, , , ,-0.62,18.86
11, , , ,-0.38,21.7
12, , , ,-0.29,24.34
13, , , ,-0.1,26.98
14, , , ,0.83,32.33
15, , , ,3.79,32.42
16, , , ,3.78,33.05
17, , , ,4.49,38.47
断面名称,长HTQG-3, , ,测量水位,1.29
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.93,0
2, , , ,3.65,4.01
3, , , ,4.29,7.91
4, , , ,4.25,9.57
5, , , ,1.17,9.79
6, , , ,0.14,12.3
7, , , ,-0.65,15.98
8, , , ,-0.63,17.87
9, , , ,-0.63,20.69
10, , , ,-0.73,23.01
11, , , ,-0.45,25.47
12, , , ,-0.65,27.59
13, , , ,-0.6,29.22
14, , , ,-0.37,30.68
15, , , ,-0.18,32.11
16, , , ,0.96,34.59
17, , , ,1.35,35.21
18, , , ,3.36,42.33
19, , , ,4.5,43.32
20, , , ,4.57,48.62
断面名称,长HTQG-4, , ,测量水位,1.28
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.25,0
2, , , ,4.18,0.51
3, , , ,4.18,3.33
4, , , ,4.01,4.49
5, , , ,3.76,5.79
6, , , ,2.85,8.28
7, , , ,2.73,9
8, , , ,1.27,9.01
9, , , ,0.5,14.9
10, , , ,0.33,17.72
11, , , ,0.09,19.6
12, , , ,-0.35,22.1
13, , , ,-1,24.95
14, , , ,-1.6,27.98
15, , , ,-0.91,31.23
16, , , ,0,34.53
17, , , ,0.52,37.46
18, , , ,0.85,39.78
19, , , ,1.02,41.12
20, , , ,1.05,44.61
21, , , ,1.1,49.16
22, , , ,1.43,50.62
23, , , ,1.68,52.74
24, , , ,2.65,54.42
25, , , ,3.21,57.49
26, , , ,2.36,63.31
27, , , ,3.73,70.23
断面名称,长HTQG-5, , ,测量水位,1.31
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.43,0
2, , , ,2.52,4.98
3, , , ,4.48,5.37
4, , , ,3.94,15.62
5, , , ,1.01,15.76
6, , , ,0.68,18.68
7, , , ,0.6,23.02
8, , , ,0.14,25.57
9, , , ,-0.06,27
10, , , ,-0.94,29.23
11, , , ,-1.53,31.95
12, , , ,-1.57,35.11
13, , , ,-0.97,38.5
14, , , ,-0.55,41.59
15, , , ,0.18,44.16
16, , , ,0.37,45.89
17, , , ,0.68,50.35
18, , , ,0.88,55.85
19, , , ,1.09,61.56
20, , , ,3.45,62.02
21, , , ,4.03,71.85
22, , , ,4.79,72.09
23, , , ,3.17,90.01
